"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"FLWS","1-800 FLOWERS.COM, Inc.","3.82","246730362","n/a","1999","n/a","n/a","http://www.nasdaq.com/symbol/flws",
"FCTY","1st Century Bancshares, Inc","4.78","43583925.28","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/fcty",
"FCCY","1st Constitution Bancorp (NJ)","9.08","46597951.64","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/fccy",
"SRCE","1st Source Corporation","22.44","544759521.24","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/srce",
"FUBC","1st United Bancorp, Inc. (FL)","6.72","228952214.4","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/fubc",
"VNET","21Vianet Group, Inc.","11.68","653301329.44","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vnet",
"SSRX","3SBio Inc.","13.4","295856255","n/a","2007","n/a","n/a","http://www.nasdaq.com/symbol/ssrx",
"JOBS","51job, Inc.","46.96","1352501534.4","n/a","2004","n/a","n/a","http://www.nasdaq.com/symbol/jobs",
"EGHT","8x8 Inc","6.13","435761195.15","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/eght",
"AVHI","A V Homes, Inc.","15.04","195862160","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/avhi",
"SHLM","A. Schulman, Inc.","23.855","704668947.125","n/a","1972","n/a","n/a","http://www.nasdaq.com/symbol/shlm",
"AONE","A123 Systems, Inc.","0.2651","45214784.5017","n/a","2009","n/a","n/a","http://www.nasdaq.com/symbol/aone",
"AAON","AAON, Inc.","19.56","479820237.72","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aaon",
"ASTM","Aastrom Biosciences, Inc.","1.5","63883464","n/a","1997","n/a","n/a","http://www.nasdaq.com/symbol/astm",
"ABAX","ABAXIS, Inc.","37.01","811713053.63","n/a","1992","n/a","n/a","http://www.nasdaq.com/symbol/abax",
"ABMD","ABIOMED, Inc.","20.49","809923126.23","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/abmd",
"AXAS","Abraxas Petroleum Corporation","2.14","197597021.98","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/axas",
"ACTG","Acacia Research Corporation","23.14","1150388508.62","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/actg",
"ACHC","Acadia Healthcare Company, Inc.","23.84","994872785.44","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/achc",
"ACAD","ACADIA Pharmaceuticals Inc.","2.59","137347723.31","n/a","1985","n/a","n/a","http://www.nasdaq.com/symbol/acad",
"ACCL","Accelrys, Inc.","9.4","522115329.6","n/a","1995","n/a","n/a","http://www.nasdaq.com/symbol/accl",
"ANCX","Access National Corporation","13.23","135955012.41","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ancx",
"ARAY","Accuray Incorporated","7.06","508666504.8","n/a","2007","n/a","n/a","http://www.nasdaq.com/symbol/aray",
"ACRX","AcelRx Pharmaceuticals, Inc.","2.99","67648750","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/acrx",
"ACET","Aceto Corporation","9.2","249139652.4","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/acet",
"ACHN","Achillion Pharmaceuticals, Inc.","10.81","853491453.61","n/a","2006","n/a","n/a","http://www.nasdaq.com/symbol/achn",
"ACIW","ACI Worldwide, Inc.","41.5","1627452629","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aciw",
"APKT","Acme Packet, Inc.","17.99","1237782664.72","n/a","2006","n/a","n/a","http://www.nasdaq.com/symbol/apkt",
"ACNB","ACNB Corporation","16.34","97313441.9","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/acnb",
"ACOR","Acorda Therapeutics, Inc.","25.81","1034807376.13","n/a","2006","n/a","n/a","http://www.nasdaq.com/symbol/acor",
"ACFN","Acorn Energy, Inc.","8.55","153273729.6","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/acfn",
"ACTS","Actions Semiconductor Co., Ltd.","1.61","138460000","n/a","2005","n/a","n/a","http://www.nasdaq.com/symbol/acts",
"ACPW","Active Power, Inc.","0.78","74417952.18","n/a","2000","n/a","n/a","http://www.nasdaq.com/symbol/acpw",
"ATVI","Activision Blizzard, Inc","11.3","12555275043.1","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/atvi",
"BIRT","Actuate Corporation","6.52","321291308.16","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/birt",
"ACUR","Acura Pharmaceuticals, Inc.","1.7","77967817.4","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/acur",
"ACXM","Acxiom Corporation","17.99","1349776873.13","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/acxm",
"ADES","ADA-ES, Inc.","22.11","221407550.1","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ades",
"ADUS","Addus HomeCare Corporation","5.3","57337429.9","n/a","2009","n/a","n/a","http://www.nasdaq.com/symbol/adus",
"AEY","ADDvantage Technologies Group, Inc.","2.11","21499043.2","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aey",
"ADEP","Adept Technology, Inc.","4.05","42763306.05","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/adep",
"ADBE","Adobe Systems Incorporated","32.23","15955610434.83","n/a","1986","n/a","n/a","http://www.nasdaq.com/symbol/adbe",
"ADTN","ADTRAN, Inc.","16.24","1027527178.72","n/a","1994","n/a","n/a","http://www.nasdaq.com/symbol/adtn",
"AEIS","Advanced Energy Industries, Inc.","12.01","453717274.91","n/a","1995","n/a","n/a","http://www.nasdaq.com/symbol/aeis",
"ADVS","Advent Software, Inc.","23.99","1215219231.59","n/a","1995","n/a","n/a","http://www.nasdaq.com/symbol/advs",
"AVCA","Advocat, Inc.","5.6599","33298578.3755","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/avca",
"AEGR","Aegerion Pharmaceuticals, Inc.","13.97","355796607.43","n/a","2010","n/a","n/a","http://www.nasdaq.com/symbol/aegr",
"AEGN","Aegion Corp","19.55","768083449.8","n/a","2000","n/a","n/a","http://www.nasdaq.com/symbol/aegn",
"AEHR","Aehr Test Systems","1.22","11268348.22","n/a","1997","n/a","n/a","http://www.nasdaq.com/symbol/aehr",
"AEPI","AEP Industries Inc.","61.65","340674570.9","n/a","1986","n/a","n/a","http://www.nasdaq.com/symbol/aepi",
"AVAV","AeroVironment, Inc.","24.02","534745394.12","n/a","2007","n/a","n/a","http://www.nasdaq.com/symbol/avav",
"AEZS","AEterna Zentaris Inc.","3.35","62738769.85","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aezs",
"ATRM","Aetrium Incorporated","0.85","9164233.35","n/a","1993","n/a","n/a","http://www.nasdaq.com/symbol/atrm",
"AFCE","AFC Enterprises, Inc.","24.69","593376769.89","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/afce",
"AFFY","Affymax, Inc.","22.55","816124142.9","n/a","2006","n/a","n/a","http://www.nasdaq.com/symbol/affy",
"AFFX","Affymetrix, Inc.","3.71","261975958.86","n/a","1996","n/a","n/a","http://www.nasdaq.com/symbol/affx",
"AGEN","Agenus Inc.","4.79","117190626.36","n/a","2000","n/a","n/a","http://www.nasdaq.com/symbol/agen",
"AGYS","Agilysys, Inc.","8.56","189225827.76","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/agys",
"AIRM","Air Methods Corporation","114.98","1481497063.52","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/airm",
"AIRT","Air T, Inc.","8.64","21135911.04","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/airt",
"ATSG","Air Transport Services Group, Inc","3.95","253730564.7","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/atsg",
"AMCN","AirMedia Group Inc","1.94","121490168.12","n/a","1995","n/a","n/a","http://www.nasdaq.com/symbol/amcn",
"AIXG","Aixtron SE","13.34","1344959463.66","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aixg",
"AKAM","Akamai Technologies, Inc.","39.6","7021336924.8","n/a","1999","n/a","n/a","http://www.nasdaq.com/symbol/akam",
"AKRX","Akorn, Inc.","13.42","1276186441.2","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/akrx",
"ALSK","Alaska Communications Systems Group, Inc.","2.29","104567491.4","n/a","1999","n/a","n/a","http://www.nasdaq.com/symbol/alsk",
"AMRI","Albany Molecular Research, Inc.","3.57","109977305.76","n/a","1999","n/a","n/a","http://www.nasdaq.com/symbol/amri",
"ALCS","ALCO Stores, Inc.","6.79","25291901.25","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/alcs",
"ALXN","Alexion Pharmaceuticals, Inc.","115.24","22248172400.88","n/a","1996","n/a","n/a","http://www.nasdaq.com/symbol/alxn",
"ALXA","Alexza Pharmaceuticals, Inc.","5.63","81688220.39","n/a","2006","n/a","n/a","http://www.nasdaq.com/symbol/alxa",
"ALCO","Alico, Inc.","31.86","234304079.22","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/alco",
"ALGN","Align Technology, Inc.","38.09","3098724647.72","n/a","2001","n/a","n/a","http://www.nasdaq.com/symbol/algn",
"ALIM","Alimera Sciences, Inc.","2.49","78266788.05","n/a","2010","n/a","n/a","http://www.nasdaq.com/symbol/alim",
"ALKS","Alkermes plc","20.55","2689149203.1","n/a","1991","n/a","n/a","http://www.nasdaq.com/symbol/alks",
"ALGT","Allegiant Travel Company","67.41","1296588140.19","n/a","2006","n/a","n/a","http://www.nasdaq.com/symbol/algt",
"ALLB","Alliance Bancorp, Inc. of Pennsylvania","12.5","68336712.5","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/allb",
"ABVA","Alliance Bankshares Corporation","4.64","23710256.16","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/abva",
"AFOP","Alliance Fiber Optic Products, Inc.","9.4","82766370.2","n/a","2000","n/a","n/a","http://www.nasdaq.com/symbol/afop",
"ALNC","Alliance Financial Corporation","45.79","219066136.92","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/alnc",
"AHGP","Alliance Holdings GP, L.P.","48.8","2921314400","n/a","2006","n/a","n/a","http://www.nasdaq.com/symbol/ahgp",
"ARLP","Alliance Resource Partners, L.P.","61.27","2259328125.23","n/a","1999","n/a","n/a","http://www.nasdaq.com/symbol/arlp",
"AHPI","Allied Healthcare Products, Inc.","2.77","22504549.22","n/a","1992","n/a","n/a","http://www.nasdaq.com/symbol/ahpi",
"AMOT","Allied Motion Technologies, Inc.","6.4","55342924.8","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/amot",
"ALLT","Allot Communications Ltd.","24.83","797711075.98","n/a","2006","n/a","n/a","http://www.nasdaq.com/symbol/allt",
"MDRX","Allscripts Healthcare Solutions, Inc.","13.85","2373696584.75","n/a","1999","n/a","n/a","http://www.nasdaq.com/symbol/mdrx",
"AFAM","Almost Family Inc","21.08","196703150.52","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/afam",
"ALNY","Alnylam Pharmaceuticals, Inc.","18.94","989519296.18","n/a","2004","n/a","n/a","http://www.nasdaq.com/symbol/alny",
"AOSL","Alpha and Omega Semiconductor Limited","8.95","223579135.55","n/a","2010","n/a","n/a","http://www.nasdaq.com/symbol/aosl",
"ATEC","Alphatec Holdings, Inc.","1.75","157331291.25","n/a","2006","n/a","n/a","http://www.nasdaq.com/symbol/atec",
"ALTI","Altair Nanotechnologies Inc.","0.675","46880428.725","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/alti",
"ALTR","Altera Corporation","33.36","10672523860.8","n/a","1988","n/a","n/a","http://www.nasdaq.com/symbol/altr",
"ALTE","Alterra Capital Holdings Limited","24.04","2308874369.08","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/alte",
"ASPS","Altisource Portfolio Solutions S.A.","111.79","2611037108.75","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/asps",
"APSA","Alto Palermo S.A.","15.6","49135554","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/apsa",
"AIMC","Altra Holdings, Inc.","17.43","469490697.69","n/a","2006","n/a","n/a","http://www.nasdaq.com/symbol/aimc",
"ALVR","Alvarion Ltd.","0.4905","30596801.8905","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/alvr",
"AMAG","AMAG Pharmaceuticals, Inc.","18.33","392082146.04","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/amag",
"AMRN","Amarin Corporation PLC","12.31","1831977499.08","n/a","1995","n/a","n/a","http://www.nasdaq.com/symbol/amrn",
"AMZN","Amazon.com, Inc.","259.06","117112025219.36","n/a","1997","n/a","n/a","http://www.nasdaq.com/symbol/amzn",
"EPAX","Ambassadors Group, Inc.","5.38","94711171.66","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/epax",
"AMBT","Ambient Corporation","5","83318600","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ambt",
"AMCX","AMC Networks Inc.","42.75","3065115449.25","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/amcx",
"AMED","Amedisys Inc","13.56","415449056.16","n/a","1987","n/a","n/a","http://www.nasdaq.com/symbol/amed",
"UHAL","Amerco","108.35","2124503829.8","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/uhal",
"ASBI","Ameriana Bancorp","6.4","19129292.8","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/asbi",
"ATAX","America First Tax Exempt Investors, L.P.","6.14","184954777.92","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/atax",
"AMOV","America Movil, S.A.B. de C.V.","26.06","100317970000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/amov",
"AGNC","American Capital Agency Corp.","34.6","11819309830","n/a","1983","n/a","n/a","http://www.nasdaq.com/symbol/agnc",
"AGNCP","American Capital Agency Corp.","26.26","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/agncp",
"MTGE","American Capital Mortgage Investment Corp.","25.85","937375285","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mtge",
"ACAS","American Capital, Ltd.","11.81","3834175030.36","n/a","1997","n/a","n/a","http://www.nasdaq.com/symbol/acas",
"ANCI","American Caresource Holdings Inc","1.6","9131430.4","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/anci",
"AETI","American Electric Technologies, Inc.","4.7","37199019.5","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aeti",
"AMIC","American Independence Corp.","4.91","40617150.12","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/amic",
"ALRN","American Learning Corporation","0.9","4427653.5","n/a","1984","n/a","n/a","http://www.nasdaq.com/symbol/alrn",
"AMNB","American National Bankshares, Inc.","22.64","177408307.84","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/amnb",
"ANAT","American National Insurance Company","71.95","1930897974.8","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/anat",
"APFC","American Pacific Corporation","12.3","93757869.3","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/apfc",
"APEI","American Public Education, Inc.","38.65","697485050.25","n/a","2007","n/a","n/a","http://www.nasdaq.com/symbol/apei",
"ARII","American Railcar Industries, Inc.","28.62","611102740.14","n/a","2006","n/a","n/a","http://www.nasdaq.com/symbol/arii",
"ARCP","American Realty Capital Properties, Inc.","13.08","146020110.36","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/arcp",
"ARCT          ","American Realty Capital Trust, Inc.","11.87","1881141919.73","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/arct          ",
"AMRB","American River Bankshares","7.71","71922588.51","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/amrb",
"ASEI","American Science and Engineering, Inc.","65.1","548845991.4","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/asei",
"AMSWA","American Software, Inc.","8.38","227393445.28","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/amswa",
"AMSC","American Superconductor Corporation","3.88","213358278.36","n/a","1991","n/a","n/a","http://www.nasdaq.com/symbol/amsc",
"AMWD","American Woodmark Corporation","21.04","305154060.8","n/a","1986","n/a","n/a","http://www.nasdaq.com/symbol/amwd",
"CRMT","America&#39;s Car-Mart, Inc.","44.58","405343293.36","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/crmt",
"ABCB","Ameris Bancorp","12.5","297739300","n/a","1994","n/a","n/a","http://www.nasdaq.com/symbol/abcb",
"AMSF","AMERISAFE, Inc.","27.53","500694331.78","n/a","2005","n/a","n/a","http://www.nasdaq.com/symbol/amsf",
"ASRV","AmeriServ Financial Inc.","3","57853563","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/asrv",
"ASRVP","AmeriServ Financial Inc.","26.4","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/asrvp",
"ASCA","Ameristar Casinos, Inc.","17.84","587206846.88","n/a","1993","n/a","n/a","http://www.nasdaq.com/symbol/asca",
"ATLO","Ames National Corporation","20.67","192456571.71","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/atlo",
"AMGN","Amgen Inc.","86.04","66316954349.16","n/a","1983","n/a","n/a","http://www.nasdaq.com/symbol/amgn",
"FOLD","Amicus Therapeutics, Inc.","5.17","255085633.77","n/a","2007","n/a","n/a","http://www.nasdaq.com/symbol/fold",
"AMKR","Amkor Technology, Inc.","4.42","688482656.94","n/a","1998","n/a","n/a","http://www.nasdaq.com/symbol/amkr",
"AMPL","Ampal-American Israel Corporation","1.64","4602968.32","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ampl",
