"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"DDD","3D Systems Corporation","34.27","1898654709.94","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ddd",
"MMM","3M Company","95.37","65931137186.31","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mmm",
"SVN","7 Days Group Holdings Limited","11.8","589732269.8","n/a","2009","n/a","n/a","http://www.nasdaq.com/symbol/svn",
"AHC","A.H. Belo Corporation","5.1","111983836.5","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ahc",
"AIR","AAR Corp.","16.51","659413147.77","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/air",
"AAN","Aaron&#39;s,  Inc.","27.68","2098238776.32","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aan",
"ABB","ABB Ltd","19.21","44055887833.41","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/abb",
"ABT","Abbott Laboratories","71.32","111924881552.28","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/abt",
"ANF","Abercrombie & Fitch Company","33.43","2760407533.95","n/a","1996","n/a","n/a","http://www.nasdaq.com/symbol/anf",
"ABM","ABM Industries Incorporated","18.3","992384368.2","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/abm",
"AKR","Acadia Realty Trust","24.65","1136267484.6","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/akr",
"ACN","Accenture plc.","71.04","48292925080.32","n/a","1986","n/a","n/a","http://www.nasdaq.com/symbol/acn",
"ACMP","Access Midstream Partmers, L.P.","34.87","5160711530.7","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/acmp",
"ACCO","Acco Brands Corporation","6.27","709125645.03","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/acco",
"AH","Accretive Health, Inc.","11.49","1142205802.14","n/a","2010","n/a","n/a","http://www.nasdaq.com/symbol/ah",
"ACW","Accuride Corporation New","4.65","220341710.1","n/a","2005","n/a","n/a","http://www.nasdaq.com/symbol/acw",
"ACE","Ace Limited","78.07","26472939530.29","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ace",
"ATV","Acorn International, Inc.","2.65","79445924.1","n/a","2007","n/a","n/a","http://www.nasdaq.com/symbol/atv",
"ATU","Actuant Corporation","28.43","2071135876.95","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/atu",
"AYI","Acuity Brands Inc","61.7","2612969641.3","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ayi",
"ADX","Adams Express Company (The)","11.44","1042256277.92","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/adx",
"AGRO","Adecoagro S.A.","9.52","1154414240","n/a","1994","n/a","n/a","http://www.nasdaq.com/symbol/agro",
"PVD","Administradora de Fondos de Pensiones-Provida, S.A.","101.74","2247210126.76","n/a","1994","n/a","n/a","http://www.nasdaq.com/symbol/pvd",
"ADT","ADT Corporation","38.23","8790529740","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/adt",
"AAP","Advance Auto Parts Inc","70.59","5176194295.74","n/a","1993","n/a","n/a","http://www.nasdaq.com/symbol/aap",
"AMD","Advanced Micro Devices, Inc.","3.19","2257100788.14","n/a","1972","n/a","n/a","http://www.nasdaq.com/symbol/amd",
"ASX","Advanced Semiconductor Engineering, Inc.","3.81","5783818780.32","n/a","1996","n/a","n/a","http://www.nasdaq.com/symbol/asx",
"AAV","Advantage Oil & Gas Ltd","3.84","646590097.92","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aav",
"ATE","Advantest Corporation (Kabushiki Kaisha Advantest) ADS","11.59","2008215294.2","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ate",
"AVK","Advent Claymore Convertible Securities and Income Fund","16.82","396630351.14","n/a","2003","n/a","n/a","http://www.nasdaq.com/symbol/avk",
"AGC","Advent Claymore Convertible Securities and Income Fund II","6.79","218914488.8","n/a","2007","n/a","n/a","http://www.nasdaq.com/symbol/agc",
"LCM","Advent/Claymore Enhanced Growth & Income Fund","9.57","130180949.25","n/a","2005","n/a","n/a","http://www.nasdaq.com/symbol/lcm",
"ACM","Aecom Technology Corporation","21.41","2420976429","n/a","2007","n/a","n/a","http://www.nasdaq.com/symbol/acm",
